Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,Monthly_Users,Productivity_Gain_Percent,Satisfaction_Score,AI_Investment_USD,Cost_Savings_USD,Adoption_Level,ROI_Percent
ORG00001,Education,Medium,723,Perplexity,2026,266,28.0,8.6,137775,132277,High,-3.99
ORG00002,Finance,Small,154,Claude,2026,64,29.04,8.4,42788,81064,Medium,89.45
ORG00003,IT,Small,27,Midjourney,2026,15,14.33,8.6,29956,56132,High,87.38
ORG00004,Manufacturing,Large,4190,Copilot,2026,327,19.18,8.1,1436358,1256046,Medium,-12.55
ORG00005,Manufacturing,Medium,493,Gemini,2026,116,17.9,6.5,243501,389174,Medium,59.82
ORG00006,Manufacturing,Small,34,Claude,2026,17,27.95,8.2,30402,67335,Medium,121.48
ORG00007,Manufacturing,Small,55,Midjourney,2026,22,23.79,8.3,35712,29016,High,-18.75
ORG00008,Finance,Medium,731,Claude,2026,245,16.89,7.2,161129,160275,Medium,-0.53
ORG00009,Manufacturing,Medium,263,Gemini,2026,80,23.3,8.2,202999,355380,Medium,75.06
ORG00010,Finance,Small,15,Perplexity,2026,9,11.79,6.1,17444,15684,Medium,-10.09
ORG00011,Finance,Medium,301,Midjourney,2026,51,23.27,8.3,161406,240633,Low,49.09
ORG00012,Manufacturing,Small,41,Perplexity,2026,7,25.9,6.9,39719,65606,Medium,65.18
ORG00013,Retail,Small,41,ChatGPT,2026,10,18.61,7.4,22145,31336,High,41.5
ORG00014,Manufacturing,Large,2062,Gemini,2026,740,18.97,9.1,1116364,2371019,Medium,112.39
ORG00015,Manufacturing,Small,25,Gemini,2026,17,19.29,8.5,9337,10681,Low,14.39
ORG00016,Manufacturing,Large,6212,ChatGPT,2026,1816,17.76,7.8,284166,530374,Medium,86.64
ORG00017,Education,Small,153,ChatGPT,2026,53,23.76,9.1,23711,32265,Medium,36.08
ORG00018,Retail,Small,29,Gemini,2026,5,18.88,5.8,18499,33382,High,80.45
ORG00019,Finance,Medium,573,Perplexity,2026,50,28.71,9.9,206547,337539,Medium,63.42
ORG00020,Healthcare,Small,118,Claude,2026,49,18.68,6.8,47919,40095,High,-16.33
ORG00021,Healthcare,Small,67,Copilot,2026,25,8.6,6.9,29931,38254,High,27.81
ORG00022,Retail,Small,148,Copilot,2026,30,12.52,6.3,32658,56931,High,74.32
ORG00023,Retail,Large,9668,Gemini,2026,4792,29.45,8.0,804993,1348843,Low,67.56
ORG00024,Finance,Small,187,Perplexity,2026,83,11.78,7.7,18445,38229,High,107.26
ORG00025,Retail,Medium,575,ChatGPT,2026,212,23.76,7.0,113185,162445,Medium,43.52
ORG00026,Healthcare,Large,7721,Midjourney,2026,696,35.21,9.6,1908530,2024155,Medium,6.06
ORG00027,Finance,Large,1403,Copilot,2026,306,14.84,8.3,593760,1455961,Low,145.21
ORG00028,IT,Small,37,Perplexity,2026,15,27.15,5.0,17568,29176,Medium,66.07
ORG00029,Finance,Small,174,ChatGPT,2026,51,29.33,5.9,41185,42123,Medium,2.28
ORG00030,Finance,Small,186,Perplexity,2026,86,26.3,9.1,10949,14090,Low,28.69
ORG00031,IT,Medium,318,Perplexity,2026,30,13.32,7.6,176795,267401,High,51.25
ORG00032,Finance,Large,6364,Gemini,2026,2640,17.27,7.9,1006139,991595,High,-1.45
ORG00033,Retail,Small,73,Claude,2026,8,13.5,6.9,28884,41480,High,43.61
ORG00034,Healthcare,Medium,721,Perplexity,2026,42,11.7,6.2,156203,341798,Low,118.82
ORG00035,Retail,Medium,486,Perplexity,2026,147,35.83,6.3,79234,82766,Medium,4.46
ORG00036,IT,Small,41,Midjourney,2026,5,20.09,7.2,25504,27975,Medium,9.69
ORG00037,Manufacturing,Medium,842,Perplexity,2026,228,24.81,7.6,128726,294461,Low,128.75
ORG00038,Healthcare,Small,18,ChatGPT,2026,10,34.59,8.0,15263,13488,Medium,-11.63
ORG00039,Retail,Small,27,Perplexity,2026,17,24.1,8.1,42505,41165,High,-3.15
ORG00040,Manufacturing,Large,9123,Midjourney,2026,2447,22.42,7.1,1263887,1300209,Medium,2.87
